AssignmentID,URL,Type,ApproxDueDate
lightsCameraActionHW,file:///Resources/Assignments.md,Homework,2017-01-26T00:00:00
polygonMakerLab,file:///Resources/Assignments.md,In-Lab,2017-01-26T00:00:00
squiralHW,file:///Resources/Assignments.md,Homework,2017-02-02T00:00:00
guess1Lab,file:///Resources/Assignments.md,In-Lab,2017-02-02T00:00:00
guess2HW,file:///Resources/Assignments.md,Homework,2017-02-09T00:00:00
guess3Lab,file:///Resources/Assignments.md,In-Lab,2017-02-16T00:00:00
